0	1.25	6.22	0.1866
2.5	1.25	8.97	0.2691
5	1.25	12	0.36
7.5	1.25	14.7	0.441
10	1.25	19.2	0.576
12.5	1.25	23	0.69
15	1.25	25.9	0.777
17.5	1.25	28.1	0.843
20	1.25	30.5	0.915
22.5	1.25	31.7	0.951
25	1.25	32.1	0.963
27.5	1.25	31.8	0.954
30	1.25	29.8	0.894
32.5	1.25	27.3	0.819
35	1.25	23.9	0.717
37.5	1.25	20.8	0.624
40	1.25	16.7	0.501
42.5	1.25	13.5	0.405
45	1.25	10.3	0.309
47.5	1.25	7.6	0.228
50	1.25	5.02	0.1506
52.5	1.25	3.55	0.1065
55	1.25	1.66	0.0498
57.5	1.25	0.866	0.02598
60	1.25	0.518	0.01554
62.5	1.25	0.322	0.00966
65	1.25	0.182	0.00546
67.5	1.25	0.158	0.00474
70	1.25	0.167	0.00501
72.5	1.25	0.175	0.00525
75	1.25	0.212	0.00636
77.5	1.25	0.375	0.01125
80	1.25	0.66	0.0198
82.5	1.25	1.62	0.0486
85	1.25	2.82	0.0846
87.5	1.25	4.56	0.1368
90	1.25	6.64	0.1992
92.5	1.25	9.66	0.2898
95	1.25	12.7	0.381
97.5	1.25	15.8	0.474
100	1.25	19.2	0.576
102.5	1.25	22.3	0.669
105	1.25	26.5	0.795
107.5	1.25	29.5	0.885
110	1.25	30.8	0.924
112.5	1.25	31.5	0.945
115	1.25	31.8	0.954
117.5	1.25	30.9	0.927
120	1.25	29.9	0.897
122.5	1.25	25.6	0.768
125	1.25	24.1	0.723
127.5	1.25	20.2	0.606
130	1.25	17.3	0.519
132.5	1.25	14.1	0.423
135	1.25	10.9	0.327
137.5	1.25	7.59	0.2277
140	1.25	4.77	0.1431
142.5	1.25	3.19	0.0957
145	1.25	1.8	0.054
147.5	1.25	1.18	0.0354
150	1.25	0.529	0.01587
152.5	1.25	0.278	0.00834
155	1.25	0.167	0.00501
157.5	1.25	0.143	0.00429
160	1.25	0.155	0.00465
162.5	1.25	0.151	0.00453
165	1.25	0.22	0.0066
167.5	1.25	0.432	0.01296
170	1.25	0.714	0.02142
172.5	1.25	1.72	0.0516
175	1.25	2.52	0.0756
177.5	1.25	4.52	0.1356
180	1.25	7.04	0.2112
182.5	1.25	9.56	0.2868
185	1.25	12.7	0.381
187.5	1.25	16.5	0.495
190	1.25	20.3	0.609
192.5	1.25	23.7	0.711
195	1.25	27.6	0.828
197.5	1.25	29.8	0.894
