0	1.25	6.6	0.198
2.5	1.25	9.11	0.2733
5	1.25	12.6	0.378
7.5	1.25	14.7	0.441
10	1.25	19.6	0.588
12.5	1.25	22.4	0.672
15	1.25	25.3	0.759
17.5	1.25	27.7	0.831
20	1.25	29.6	0.888
22.5	1.25	30.2	0.906
25	1.25	30.2	0.906
27.5	1.25	28.9	0.867
30	1.25	27.5	0.825
32.5	1.25	25.2	0.756
35	1.25	21.7	0.651
37.5	1.25	18.8	0.564
40	1.25	14.8	0.444
42.5	1.25	12.4	0.372
45	1.25	8.86	0.2658
47.5	1.25	7.13	0.2139
50	1.25	4.35	0.1305
52.5	1.25	2.81	0.0843
55	1.25	1.55	0.0465
57.5	1.25	0.81	0.0243
60	1.25	0.38	0.0114
62.5	1.25	0.254	0.00762
65	1.25	0.163	0.00489
67.5	1.25	0.173	0.00519
70	1.25	0.166	0.00498
72.5	1.25	0.182	0.00546
75	1.25	0.253	0.00759
77.5	1.25	0.494	0.01482
80	1.25	0.961	0.02883
82.5	1.25	1.79	0.0537
85	1.25	3.01	0.0903
87.5	1.25	4.5	0.135
90	1.25	6.65	0.1995
92.5	1.25	9.03	0.2709
95	1.25	12.6	0.378
97.5	1.25	16.3	0.489
100	1.25	19.7	0.591
102.5	1.25	22.7	0.681
105	1.25	25	0.75
107.5	1.25	27.5	0.825
110	1.25	29.4	0.882
112.5	1.25	30.6	0.918
115	1.25	30.6	0.918
117.5	1.25	30	0.9
120	1.25	28	0.84
122.5	1.25	25.6	0.768
125	1.25	22.3	0.669
127.5	1.25	19.4	0.582
130	1.25	16.3	0.489
132.5	1.25	12.5	0.375
135	1.25	9.18	0.2754
137.5	1.25	6.74	0.2022
140	1.25	4.28	0.1284
142.5	1.25	2.89	0.0867
145	1.25	1.37	0.0411
147.5	1.25	0.709	0.02127
150	1.25	0.358	0.01074
152.5	1.25	0.214	0.00642
155	1.25	0.17	0.0051
157.5	1.25	0.158	0.00474
160	1.25	0.146	0.00438
162.5	1.25	0.15	0.0045
165	1.25	0.206	0.00618
167.5	1.25	0.4783	0.014349
170	1.25	0.734	0.02202
172.5	1.25	1.44	0.0432
175	1.25	2.54	0.0762
177.5	1.25	4.32	0.1296
180	1.25	6.95	0.2085
182.5	1.25	9.32	0.2796
185	1.25	12.7	0.381
187.5	1.25	16.8	0.504
190	1.25	19.4	0.582
192.5	1.25	22.4	0.672
195	1.25	25.2	0.756
197.5	1.25	28.5	0.855
200	1.25	30.3	0.909
